orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,41.0,0.205882352941,0.183823529412,0.139705882353,54.873015873,190.0,36.9607843137,61.7411764706,272
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,36.0,0.178633975482,0.151196730881,0.118505545826,49.1861702128,679.0,97.0540701129,122.439096851,1713
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,4.0,0.0,0.0,0.0,4.0,30.0,19.0,53.0,1
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,48.0,0.256438969765,0.217245240761,0.178051511758,64.4698795181,599.0,81.2860411899,107.407322654,893
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,46.0,0.245076586433,0.203501094092,0.168490153173,59.5163934426,86.0,20.7049180328,47.3911007026,457
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,34.89889908,-120.4570007,37.0,0.269230769231,0.21978021978,0.164835164835,55.7358490566,216.0,40.0828402367,65.4437869822,182
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,40.0,0.17027027027,0.140540540541,0.116216216216,53.427184466,372.0,63.4354688951,85.2302692665,1110
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SUN,Friedman Memorial Airport,Hailey,ID,43.50439835,-114.2959976,23.0,0.0909090909091,0.0795454545455,0.0568181818182,34.3333333333,587.0,82.3333333333,115.560606061,88
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,TUS,Tucson International Airport,Tucson,AZ,32.1161003112793,-110.94100189208984,45.5,0.176029962547,0.149812734082,0.116104868914,74.82,751.0,97.60546875,124.41015625,267
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,34.0,0.125441696113,0.095406360424,0.0671378091873,43.5616438356,296.0,44.7527075812,56.5559566787,566
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,26.5,0.12987012987,0.0961038961039,0.0662337662338,49.4137931034,386.0,59.0892388451,75.56167979,770
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,16.0,0.129496402878,0.0943245403677,0.0655475619504,29.5897435897,308.0,50.4093519278,74.5447087777,1251
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,LWS,Lewiston Nez Perce County Airport,Lewiston,ID,46.3745002746582,-117.01499938964844,,0.0,0.0,0.0,,671.0,82.0,103.0,1
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,27.5,0.132352941176,0.0970588235294,0.0647058823529,38.7826086957,333.0,51.1061946903,64.2064896755,340
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,32.0,0.102985074627,0.0761194029851,0.0626865671642,50.3461538462,569.0,85.7140718563,100.392215569,670
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,30.5,0.114716106605,0.0926998841251,0.0590961761298,46.3039215686,621.0,84.967327888,102.64294049,863
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,27.0,0.132121212121,0.089696969697,0.0618181818182,34.4957264957,417.0,60.3617283951,73.8604938272,825
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,25.0,0.0901734104046,0.0728323699422,0.0543352601156,36.9252336449,697.0,103.388372093,123.226744186,865
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,38.0,0.0791366906475,0.0575539568345,0.052757793765,82.7837837838,584.0,84.9808153477,106.87529976,417
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,24.0,0.0858310626703,0.0599455040872,0.0381471389646,32.0410958904,342.0,56.8101092896,70.7158469945,734
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,21.0,0.0689655172414,0.051724137931,0.0344827586207,40.7826086957,574.0,93.5948275862,118.650862069,232
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,17.5,0.084,0.072,0.064,39.0277777778,501.0,78.7911646586,106.939759036,250
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,1.0,0.0930047694754,0.0612082670906,0.0508744038156,21.1575091575,590.0,87.7376395534,120.207336523,1258
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,27.5,0.133790737564,0.104631217839,0.0840480274443,45.5188679245,588.0,88.4791666667,113.001736111,583
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,12.0,0.0864661654135,0.062030075188,0.0413533834586,19.3448275862,588.0,90.9116541353,113.697368421,532
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,21.5,0.0862745098039,0.0666666666667,0.0470588235294,43.03125,558.0,79.9015748031,105.846456693,255
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,2.0,0.025641025641,0.0213675213675,0.00854700854701,17.125,541.0,78.1459227468,102.587982833,234
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,28.0,0.0806451612903,0.0629032258065,0.0548387096774,42.5068493151,626.0,88.1883116883,109.967532468,620
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.0,0.106965174129,0.0833333333333,0.0671641791045,23.4925373134,599.0,98.5227272727,127.775252525,804
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,15.5,0.1103117506,0.0719424460432,0.0551558752998,29.8,584.0,93.5947242206,119.767386091,417
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,18.0,0.0665083135392,0.0498812351544,0.0356294536817,28.4897959184,532.0,83.1425178147,108.437054632,421
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,21.0,0.0871559633028,0.0711009174312,0.0504587155963,32.275862069,588.0,85.5435779817,112.986238532,436
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,18.0,0.135135135135,0.0675675675676,0.0675675675676,41.2727272727,437.0,63.472972973,75.2432432432,74
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,29.0,0.130890052356,0.101221640489,0.0698080279232,38.1829268293,358.0,53.5026455026,65.3544973545,573
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,22.0,0.131693198263,0.0839363241679,0.0506512301013,32.8454545455,397.0,58.4496350365,75.0072992701,691
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,24.5,0.174672489083,0.135371179039,0.096943231441,39.7192307692,373.0,60.1735682819,83.9118942731,1145
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,41.0,0.0847457627119,0.0790960451977,0.0677966101695,67.4736842105,387.0,62.4114285714,77.8742857143,177
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,26.5,0.126394052045,0.0855018587361,0.0539033457249,38.5882352941,390.0,57.5493482309,71.2551210428,538
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,34.0,0.0992736077482,0.0750605326877,0.0581113801453,40.7674418605,479.0,71.0219512195,84.1414634146,413
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,28.0,0.0945330296128,0.0717539863326,0.0432801822323,48.4222222222,647.0,85.9049255441,101.804123711,878
SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,25.0,0.123473541384,0.0868385345997,0.0569877883311,38.5700934579,480.0,68.5430916553,81.8645690834,737
